sample_index,class0_sum,class1_sum,class2_sum,class3_sum,class4_sum,class5_sum,class6_sum,class7_sum,class8_sum,class9_sum,predicted_label
29,-18,-20,-20,-6,-10,-20,-20,-20,-20,-20,3
30,-20,-20,-20,-20,-20,-20,-20,-19,20,-20,8
31,-16,-20,-20,-11,-19,-8,-20,-16,20,-20,8
32,-19,-20,-20,13,-20,-19,-20,-16,-20,-17,3
33,-17,-20,-14,11,-10,-20,-14,-20,-20,-17,3
34,-20,-20,-14,-20,-15,-16,-20,-19,11,-20,8
35,14,-20,-20,-19,-20,-20,-10,-20,-20,-20,0
36,-20,-20,-20,-20,-20,-14,-20,19,-20,-20,7
37,-18,-20,-20,-16,-19,20,-13,-17,-20,-20,5
38,-20,-20,-20,-20,-20,-14,-17,19,-20,-20,7
39,-20,-20,-20,-20,-20,-20,-20,-16,-20,20,9
40,8,-20,-20,-20,-20,-20,-8,-20,-20,-20,0
41,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
42,-7,-20,-20,-19,-12,-20,-15,-20,-20,-20,0
43,-20,-20,-20,-20,-20,-19,-20,-7,-20,1,9
44,-20,-20,-20,-20,-8,-20,0,-20,-20,-20,6
45,-20,-19,-20,-20,-20,-12,-20,2,-20,-19,7
46,-20,-20,9,-20,-17,-20,-9,-20,-20,-20,2
47,-20,17,-20,-10,-20,-20,-20,-20,-20,-20,1
48,-20,-20,-8,-20,-4,-20,-20,-20,-15,-20,4
49,-20,-20,-5,-20,-17,-20,0,-20,-20,-20,6
50,-20,-20,-8,-20,-8,-20,-14,-20,-19,-20,2
51,-20,-19,3,-20,-13,-20,-6,-20,-20,-18,2
52,-18,-20,-20,-20,-20,20,-16,-20,-20,-20,5
53,-11,-19,2,-11,3,-15,4,-5,5,-16,8
54,-20,-20,5,-16,-5,-20,-20,-20,-20,-20,2
55,-20,-20,7,-20,-20,-17,-19,-19,-20,-20,2
56,-20,-12,-13,-12,-17,-14,-8,-12,20,-12,8
57,-20,-20,-12,-20,1,-20,-16,-19,-20,-20,4
58,-18,-20,-20,-20,-20,-20,-15,-19,20,-20,8
59,20,-20,-16,-20,-20,-19,-20,-20,-20,-20,0
60,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
61,-20,-20,-20,-20,-20,-20,-20,15,-20,-17,7
62,-20,-20,-20,-19,-20,-18,-20,-16,20,-17,8
63,-20,-20,-20,-17,-20,20,-17,-20,-20,-18,5
64,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
65,-20,20,-20,-16,-20,-20,-20,-20,-20,-19,1
66,-18,-20,-20,-7,-10,-20,-20,-20,-20,-20,3
67,-19,-17,-20,-10,-9,-20,-20,-20,-20,-20,4
68,-20,-20,-17,-16,-20,-2,-20,-1,-20,-16,7
69,-20,-20,-18,-17,-19,-17,-18,-15,20,-20,8
70,-20,-20,-20,-20,-20,-10,-17,13,-20,-20,7
71,7,-10,-11,-8,-12,-6,0,-10,-10,-10,0
72,-11,-14,7,-16,-11,-20,-7,-9,-11,-14,2
73,-11,-20,-20,-14,-16,-20,-4,-20,-20,-20,6
74,-20,-20,5,-20,-9,-20,-20,-20,-20,-20,2
75,-19,-11,-20,12,-20,-20,-20,-19,-20,-20,3
76,-20,20,-19,-20,-20,-20,-20,-20,-20,-20,1
77,-20,-20,20,-20,-20,-20,-20,-20,-20,-20,2
78,-10,-11,-2,-3,10,-13,-4,-8,15,-4,8
79,-20,-20,-15,-20,10,-20,-13,-20,-20,-20,4
80,-18,20,-20,-19,-19,-20,-20,-18,-20,-20,1
81,-11,-15,-17,-10,-9,-19,-10,-12,20,-10,8
82,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,5
83,-20,-20,-20,-20,-20,-20,-20,-14,-20,20,9
84,-20,-20,-20,-20,-20,20,-18,-13,-20,-20,5
85,20,-20,-20,-20,-18,-20,-18,-20,-20,-20,0
86,-16,-12,-20,1,-20,-20,-20,-20,-20,-20,3
87,-20,-20,14,-20,-12,-20,-14,-20,-20,-20,2
88,20,-20,-18,-20,-20,-20,-18,-20,-20,-20,0
89,-20,-20,0,-20,-17,-20,-9,-16,-15,-20,2
90,-20,-20,-20,-15,-18,20,-19,-17,-20,-20,5
91,-10,-5,-20,6,-20,-20,-20,-17,-20,-20,3
92,-20,-20,-17,-20,-12,-20,11,-20,-20,-20,6
93,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
94,-20,20,-20,-17,-20,-20,-20,-20,-20,-20,1
95,-20,-19,-11,-20,-20,-18,-14,-14,12,-20,8
96,14,-20,-20,-19,-20,-20,-7,-14,-20,-20,0
97,-20,20,-20,-19,-20,-20,-20,-20,-20,-20,1
98,-20,-20,-2,-20,-12,-20,-11,-20,-20,-20,2
99,-20,-20,19,-20,-20,-20,-19,-18,-20,-20,2
100,-20,-18,-20,6,-20,-20,-14,-20,-20,-19,3
101,-20,-20,-19,-20,-8,-20,10,-20,-20,-20,6
102,-20,-20,-20,-20,-20,-18,-20,20,-20,-20,7
103,-15,-15,2,-11,-13,-16,-7,-20,-20,-18,2
104,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
105,-10,-11,-17,-14,-14,-15,-9,-8,16,-16,8
106,-11,-17,-20,-15,-20,14,-11,-11,-20,-20,5
107,-20,-20,-20,-20,-20,-7,-20,-8,-20,-3,9
108,-20,-19,-20,-19,-20,-9,-16,-20,-20,12,9
109,-20,-20,-20,-20,12,-20,-20,-20,-20,-20,4
110,-20,-20,7,-17,-13,-20,-14,-17,-18,-20,2
111,-20,-19,-20,-20,-20,17,-16,-15,-19,-20,5
112,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
113,17,-17,-10,-20,-19,-16,-7,-14,-20,-17,0
114,-20,-20,-20,-20,-20,20,-20,-18,-20,-20,5
115,-20,-20,15,-20,-20,-20,-20,-20,-20,-20,2
116,-11,-13,-14,-7,-16,-16,-2,-12,20,-17,8
117,-20,-20,-5,-20,-15,-20,-3,-18,-19,-20,6
118,-20,-20,-20,-15,-20,-20,-16,10,-20,-20,7
119,-12,-17,-9,-8,-12,-20,-8,-16,5,-10,8
120,14,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
121,20,-20,-20,-20,-20,-20,-19,-20,-20,-20,0
122,-20,-20,-20,-19,-20,-13,-20,-8,-20,5,9
123,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,9
124,-14,-20,-18,8,-20,-20,-17,-20,-20,-20,3
125,19,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
126,-9,-5,-10,-12,-17,-8,-14,-9,20,-18,8
127,-20,-20,-2,-20,-7,-20,-20,-20,-20,-20,2
128,-20,20,-20,-16,-20,-20,-20,-20,-20,-20,1
129,-20,-19,-19,-20,-20,13,-20,-9,-20,-20,5
130,-20,-20,-20,-20,-3,-20,-20,-20,-20,-20,4
131,-20,20,-20,-18,-20,-20,-20,-20,-20,-20,1
132,-20,-20,-20,-20,-20,-16,-20,-14,-20,10,9
133,-19,11,-20,-13,-20,-20,-20,-20,-20,-20,1
134,-17,-18,-9,-8,-2,-15,0,-13,13,-5,8
135,-20,-20,-20,-20,-10,-20,-3,-20,-20,-20,6
136,-20,-20,0,-20,-12,-20,-5,-20,-20,-20,2
137,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
138,-18,-20,13,-18,-7,-20,-19,-20,-20,-20,2
139,-20,-20,-20,-20,-20,14,-19,-14,-20,-20,5
140,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
141,-9,-20,-16,-20,-20,-20,-8,-20,-20,-20,6
142,20,-20,-20,-17,-20,-20,-16,-20,-18,-20,0
143,20,-20,-20,-20,-20,-20,-16,-20,-20,-20,0
144,-17,20,-20,-11,-20,-20,-20,-20,-20,-20,1
145,-17,-20,-14,-20,-20,-20,-13,-20,-20,-20,6
146,-20,20,-20,-20,-20,-19,-20,-20,-20,-20,1
147,-20,-20,-20,2,-20,-20,-20,-20,-20,-20,3
148,-19,-20,12,-20,-20,-20,-9,-20,-20,-20,2
149,-20,-20,3,-20,-16,-20,-14,-20,-20,-20,2
150,-17,-20,-9,-8,-14,-18,-4,-19,-20,-20,6
151,-20,-20,-6,-20,-6,-20,-8,-14,-17,-20,2
152,-20,16,-20,-15,-20,-20,-20,-20,-20,-20,1
153,-20,-20,-10,5,-11,-20,-15,-20,-20,-20,3
154,-20,-20,-20,-16,-20,20,-14,-20,-20,-20,5
155,-8,-20,-11,-20,-20,-13,-15,-15,-20,-20,0
156,-20,-20,-15,-11,6,-19,-9,-20,-20,-20,4
157,-20,-20,-20,-20,-20,-17,-20,17,-20,-20,7
158,-20,-20,-20,-20,-20,-20,-20,-19,-20,20,9
159,-20,-20,-20,20,-20,-20,-20,-20,-20,-20,3
160,-20,-20,-20,-20,-20,-15,-20,10,-20,-20,7
161,-20,-20,7,-20,-15,-20,-17,-20,-20,-20,2
162,-8,-20,-20,10,-20,-20,-19,-20,-20,-20,3
163,-20,-20,-20,-20,-20,-6,-20,-14,-20,-2,9
164,18,-20,-20,-20,-17,-16,-18,-19,-19,-20,0
165,-19,-20,-20,-20,-20,-15,-20,-15,-20,20,9
166,-20,-20,-10,-20,1,-20,-18,-20,-20,-20,4
167,-20,-20,-20,-20,-20,-20,-20,5,-20,-13,7
168,-20,-20,-18,-20,-2,-20,-17,-20,-18,-20,4
169,-20,-20,17,-20,-19,-20,-16,-20,-20,-20,2
170,-8,-20,-20,-6,-15,-20,-5,-20,-18,-20,6
171,-20,-20,-20,-20,-20,20,-17,-20,-20,-20,5
172,-20,-20,-6,-18,-5,-20,-17,-20,-20,-20,4
173,-20,20,-20,-18,-20,-20,-20,-20,-20,-20,1
174,-20,-20,16,-20,-20,-20,-19,-20,-20,-20,2
175,-12,13,-6,-6,-3,-15,-9,-18,-20,-20,1
176,-20,-20,-17,20,-14,-19,-18,-20,-20,-20,3
177,12,-20,-20,-20,-20,-20,-11,-20,-20,-20,0
178,-20,-20,-20,-20,-20,-18,-20,-20,-20,20,9
179,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
180,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
181,-20,-20,-20,-20,-20,-20,-20,-10,-20,1,9
182,-13,-20,-11,-7,-9,-20,-7,-20,-20,-20,3
183,-10,-19,-5,-17,-13,-20,0,-20,2,-19,8
184,-20,-20,-20,-20,-20,-18,-20,20,-20,-20,7
185,-20,-20,-20,-20,-20,-20,-20,-20,-19,20,9
186,-20,-20,-20,-20,-20,-14,-20,-17,-20,15,9
187,-20,-20,-15,-20,2,-20,-20,-20,-20,-20,4
188,-20,-20,1,-20,-1,-20,-20,-20,-20,-20,2
189,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
190,-15,10,-20,-5,-20,-20,-10,-20,-20,-14,1
191,-20,-20,11,-18,-17,-20,-14,-18,-20,-19,2
192,-14,-8,-20,0,-20,-20,-20,-20,-20,-20,3
193,-20,-20,-3,-20,-11,-20,-9,-20,-20,-20,2
194,-20,-20,-20,15,-20,-20,-20,-20,-20,-20,3
195,-20,-20,8,-20,-8,-20,-20,-20,-20,-20,2
196,-18,-15,-17,-18,-17,-19,-9,-10,20,-20,8
197,-20,-20,-20,9,-11,-20,-18,-20,-20,-20,3
198,-20,-20,-15,-20,-8,-20,5,-15,-16,-20,6
199,-20,20,-20,-19,-20,-20,-20,-20,-20,-20,1
200,-20,20,-20,-19,-20,-20,-20,-20,-20,-20,1
201,17,-20,-20,-20,-20,-20,-18,-20,-20,-20,0
202,-20,-20,3,-20,-19,-20,-10,-20,-20,-20,2
203,-20,-20,-20,-20,-20,-14,-20,-5,-20,6,9
204,-20,-18,10,-20,-13,-20,-17,-18,-20,-20,2
205,-20,-20,-20,-20,1,-20,-11,-20,-20,-20,4
206,11,-20,-20,-13,-20,-20,-13,-18,-20,-20,0
207,-20,-20,-20,-20,-20,-16,-18,10,-20,-17,7
208,-20,-20,-20,-20,-20,-20,-20,-18,-20,20,9
209,-2,-18,-20,-11,-16,-11,-14,-15,11,-20,8
210,-20,-20,-18,-20,0,-20,-17,-20,-20,-20,4
211,-20,20,-20,-19,-20,-20,-20,-20,-20,-20,1
212,-9,-20,-14,-17,-19,-19,-7,-20,6,-14,8
213,-20,-18,-6,-16,0,-20,-18,-17,-20,-20,4
214,-20,20,-20,-18,-20,-20,-20,-20,-20,-20,1
215,-7,-14,-20,12,-20,-20,-20,-20,-20,-20,3
216,-5,20,-20,-16,-15,-20,-20,-20,-20,-20,1
217,-20,-20,-14,-20,-13,-15,0,-20,-20,-20,6
218,-20,-20,-20,-20,-20,-19,-16,19,-20,-20,7
219,-20,-20,-4,-20,0,-20,-16,-20,-20,-20,4
220,-4,-11,-16,-10,-9,-11,0,-7,11,-14,8
221,-20,-15,-18,-20,-20,8,-20,-7,-11,-12,5
222,-20,-20,-10,-8,-16,-20,-7,-20,-20,-20,6
223,17,-20,-20,-20,-20,-20,-14,-20,-20,-20,0
224,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
225,-20,-20,-20,-20,-20,-19,-20,20,-20,-20,7
226,-10,-20,-20,-14,-20,-20,5,-20,-20,-20,6
227,-20,-20,-7,-20,-19,-20,-2,-20,-20,-20,6
228,-20,-20,-20,-20,-20,-16,-20,17,-20,-20,7
229,3,-20,-20,-20,-20,-20,-8,-20,-20,-20,0
230,-20,-20,-20,-20,-20,-17,-20,18,-20,-20,7
231,-19,-16,-20,-20,-20,-20,-12,-16,20,-18,8
232,-20,-20,-20,-20,-20,-16,-20,-16,-20,20,9
233,-20,-20,11,-20,-20,-20,-18,-20,-20,-20,2
234,-20,-20,-20,-20,-20,-20,-20,-13,-20,20,9
235,17,-20,-20,-20,-20,-20,-17,-20,-20,-20,0
236,-20,-20,-20,-20,-17,19,-20,-15,-20,-20,5
237,-16,20,-20,-20,-20,-20,-20,-20,-20,-20,1
238,-20,-20,-12,-19,-1,-18,-20,-20,-13,-20,4
239,-20,-18,18,-20,-19,-20,-20,-20,-20,-20,2
240,-20,-18,-18,-20,-19,20,-20,-15,-20,-13,5
241,-20,-20,-12,-13,-3,-20,-8,-20,-9,-20,4
242,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,9
243,-20,-20,7,-20,-13,-20,-10,-16,-20,-20,2
244,-20,-20,8,-20,-10,-20,-20,-20,-20,-20,2
245,-20,-20,-18,-16,-14,-20,-20,-20,15,-18,8
246,-20,-20,-20,-20,-12,-20,1,-20,-20,-20,6
247,-20,-20,-15,-20,4,-20,-20,-20,-19,-20,4
248,-19,-20,1,-20,-18,-16,-12,-20,-20,-20,2
249,-20,-20,-9,-20,0,-20,-20,-20,-20,-20,4
250,-20,-20,-20,-20,-20,-10,-20,-11,-20,7,9
251,-20,-20,-20,-20,-20,-20,-18,20,-20,-20,7
252,-13,-13,-15,-12,-15,-20,-12,-17,-20,-18,3
253,-20,-20,-20,-20,-20,20,-19,-9,-20,-20,5
254,-20,-20,-20,-20,-20,3,-20,-18,-20,-9,5
255,-20,-20,-1,-20,2,-20,-18,-20,-20,-20,4
256,-20,-20,-16,-20,-11,-10,-10,-10,20,-20,8
257,-20,-20,-20,-19,-20,20,-20,-18,-20,-20,5
258,-20,-20,-2,-20,-13,-20,-9,-20,-20,-20,2
259,-18,-20,-20,20,-20,-20,-20,-19,-20,-20,3
260,20,-20,-19,-20,-20,-20,-20,-20,-20,-20,0
261,-20,-20,-20,-20,-6,-20,-14,-20,-20,-20,4
262,-20,-20,-20,-20,-20,-14,-16,-9,20,-20,8
263,8,-20,-13,-19,-20,-20,-7,-20,-20,-19,0
264,15,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
265,-20,-20,-14,-20,-12,-20,10,-20,-20,-20,6
266,-20,-19,-19,-1,-12,-20,-20,-20,-11,-20,3
267,-14,-20,-6,-16,-12,-17,-5,-18,18,-16,8
268,-20,-20,-20,-20,-20,-20,-20,1,-20,5,9
269,-5,-4,-8,-7,-11,-13,4,-15,-20,-16,6
270,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
271,-14,-20,-16,-3,-10,-20,-7,-16,-18,-20,3
272,20,-20,-20,-20,-20,-20,-18,-20,-20,-20,0
273,-20,-17,5,-15,-4,-20,-16,-20,-20,-20,2
274,-20,-20,-20,20,-20,-20,-20,-20,-20,-20,3
275,20,-20,-20,-20,-20,-18,-16,-20,-20,-20,0
276,-16,-14,-15,-13,-18,-7,-8,-3,11,-16,8
277,-20,-20,-19,14,-17,-20,-20,-20,-20,-20,3
278,-20,-20,-20,-20,-20,-17,-16,19,-20,-20,7
279,-20,-20,-8,-20,-3,-20,-20,-20,-20,-20,4
280,16,-20,-20,-20,-20,-20,-13,-20,-20,-20,0
281,-20,20,-20,-19,-20,-20,-20,-20,-20,-20,1
282,-18,-19,2,-11,-12,-18,-7,-16,-20,-19,2
283,-20,-20,-20,1,-20,-20,-20,-20,-20,-20,3
284,20,-20,-20,-16,-20,-20,-10,-20,-20,-20,0
285,-20,-20,-20,-20,-10,-20,10,-20,-20,-20,6
286,3,-19,-16,-20,-16,-11,1,-15,-20,-12,0
287,-20,-20,-20,-20,-20,-12,-19,9,-20,-20,7
288,-20,-17,-19,-20,-20,20,-20,-15,-17,-10,5
289,-16,-20,-20,-6,-18,-20,-20,-20,-20,-20,3
290,-20,-20,-20,-20,-20,1,-20,-12,-20,-20,5
291,-20,-20,-20,-20,-20,-6,-20,-20,-20,17,9
292,-20,-20,-20,-20,-20,20,-15,-20,-20,-20,5
293,0,-9,-20,-3,-20,-20,-15,-20,-20,-20,0
294,-20,-20,-20,-20,-20,20,-20,-15,-20,-20,5
295,-20,-20,-20,-20,-20,20,-20,-13,-20,-18,5
296,-17,15,-19,-9,-20,-20,-20,-20,-20,-20,1
297,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,9
298,-18,-12,-14,-20,-15,-13,-11,-8,16,-8,8
299,-16,-20,-20,0,-20,-20,-20,-17,8,-20,8
300,-20,-18,-20,9,-20,-20,-20,-18,-19,-20,3
301,-20,-20,-16,6,-7,-20,-20,-20,-20,-20,3
302,-20,-20,-10,-20,-12,-20,10,-20,-20,-20,6
303,-17,-20,-12,-9,-9,-19,-7,-18,20,-7,8
304,15,-20,-20,-20,-20,-20,-13,-20,-20,-20,0
305,20,-20,-20,-17,-20,-20,-17,-20,-20,-20,0
306,-20,-20,11,-20,-8,-20,-20,-20,-20,-20,2
307,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,9
308,-20,-17,-20,-19,-20,-9,-13,9,-20,-20,7
309,-20,-20,-20,-20,-20,-20,-20,5,-20,-5,7
310,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
311,-18,-20,-20,7,-16,-20,-20,-19,-10,-20,3
312,2,-4,-9,-10,-6,-3,8,-5,-1,-11,6
313,-20,-20,-8,-20,-7,-20,-11,-20,-20,-20,4
314,-19,-16,1,-20,-17,-20,-4,-19,-20,-20,2
315,-19,-20,7,-19,2,-20,-19,-20,-19,-20,2
316,-20,-20,-20,-20,-20,-18,-20,5,-16,-9,7
317,-16,18,-20,-15,-20,-16,-16,-20,-20,-16,1
318,-20,-20,-9,-20,-11,-20,4,-19,-20,-19,6
319,-20,-20,-13,-20,-4,-20,-16,-20,-20,-20,4
320,-1,-7,-2,-7,-14,-7,2,-11,9,-9,8
321,-19,-20,8,-20,-9,-20,-14,-19,-20,-20,2
322,0,-20,-20,-20,-17,-20,-7,-20,-18,-20,0
323,-20,-20,-20,-11,-18,20,-13,-20,-20,-20,5
324,-20,-20,-20,-20,-5,-20,0,-20,-20,-20,6
325,-20,-20,-1,-20,-7,-20,-13,-20,-20,-20,2
326,-20,-20,-20,-20,-20,-20,-20,17,-20,-20,7
327,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
328,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
329,-20,-20,-20,16,-20,-20,-20,-18,-20,-20,3
330,-16,-20,-20,20,-20,-20,-20,-18,-20,-20,3
331,-20,-20,-20,-20,-20,-10,-20,-3,-15,-13,7
332,-14,-20,-16,-11,-9,-20,-4,-20,-20,-20,6
333,-20,-20,-20,-20,-20,-20,-20,20,-19,-20,7
334,-20,20,-20,-16,-20,-20,-20,-20,-20,-20,1
335,-16,-20,-20,20,-20,-20,-20,-20,-20,-20,3
336,-20,-20,-20,-20,-20,-12,-20,20,-20,-20,7
337,-17,-15,2,-20,-7,-17,0,-17,-11,-20,2
338,-20,-20,10,-20,-16,-20,-10,-20,-20,-18,2
339,-20,-12,-20,15,-20,-20,-20,-20,-20,-20,3
340,-20,-20,-20,-20,6,-20,-16,-20,-14,-20,4
341,2,-20,-19,-14,-18,-18,-8,-20,-20,-14,0
342,-20,-19,-20,5,-20,-20,-20,-18,-20,-20,3
343,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
344,6,-17,-20,-12,-13,-10,2,-13,-15,-16,0
345,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
346,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,9
347,-20,-20,-11,-20,-1,-20,-17,-20,-20,-20,4
348,-20,-20,-20,-20,-20,-11,-20,-18,-20,8,9
349,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,9
350,-20,20,-20,-19,-20,-20,-20,-20,-20,-20,1
351,-20,-20,-20,-20,-20,-15,-20,19,-20,-20,7
352,-6,-5,8,3,5,-1,5,3,2,-5,2
353,-20,-20,-12,14,-11,-20,-16,-20,-20,-20,3
354,-15,-20,-20,-7,-16,-20,0,-20,-20,-20,6
355,3,-17,-20,-18,-13,-20,-5,-20,-20,-20,0
356,-20,-20,7,-20,-19,-20,-8,-19,-20,-20,2
357,-20,-20,-14,-20,1,-20,-14,-19,-20,-20,4
358,-20,-20,-18,-20,-14,-20,-18,-19,14,-20,8
359,-16,-20,-12,-20,-18,-20,-3,-20,-20,-20,6
360,-20,20,-20,-19,-20,-20,-20,-20,-20,-20,1
361,-20,-20,7,-18,-12,-20,-15,-18,-19,-20,2
362,-20,-20,6,-20,-9,-20,-20,-20,-20,-20,2
363,-20,-20,-7,-20,1,-20,-20,-20,-20,-20,4
364,-20,-20,-13,-20,8,-20,-19,-20,-20,-20,4
365,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
366,-20,-20,-20,19,-20,-20,-20,-20,-20,-20,3
367,-20,-20,0,-20,-5,-20,-16,-20,-20,-20,2
368,-20,-20,5,-20,-20,-20,-20,-18,-20,-19,2
369,-20,-20,-20,-20,-20,16,-17,-7,-20,-20,5
370,1,-20,-20,-8,-20,-20,-20,-18,-20,-20,0
371,-18,-20,-20,-18,-20,-14,-20,15,-20,-20,7
372,-20,-20,-20,-15,-20,3,-18,-20,-20,5,9
373,-20,-20,-13,-20,4,-20,-20,-20,-20,-20,4
374,8,-19,-18,-16,-20,-17,-6,-20,-20,-16,0
375,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,9
376,-19,-20,-15,20,-20,-20,-20,-17,-20,-20,3
377,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,9
378,-13,-20,-20,-8,-20,-20,-20,-20,-15,-20,3
379,-14,-20,0,-14,-15,-20,-8,-20,-20,-20,2
380,-20,-20,-20,-20,-20,20,-20,-15,-20,-12,5
381,-2,-20,-20,-20,-20,-20,-10,-20,-20,-20,0
382,-14,-20,-6,-20,-16,-13,-1,-17,-19,-20,6
383,-20,-20,-20,20,-20,-20,-20,-20,-20,-20,3
384,-20,-20,-20,-20,-20,18,-20,-20,-20,-16,5
385,-18,-20,-16,-20,-13,-18,-9,-12,12,-20,8
386,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
387,-16,-12,-1,-14,-10,-16,1,-13,-15,-19,6
388,-20,-20,7,-20,-14,-20,-11,-18,-20,-20,2
389,-10,-13,10,-8,-2,-10,3,-12,-11,-13,2
390,-20,-20,-14,-20,-10,-20,9,-20,-20,-20,6
391,-20,-20,-17,-20,0,-20,-12,-20,-20,-20,4
392,-20,-20,-20,-19,-20,-20,-20,-11,-20,11,9
393,-20,-19,-20,-17,-20,20,-16,-14,-20,-20,5
394,-20,-18,6,-20,-11,-18,-10,-16,-20,-20,2
395,14,-20,-20,-20,-20,-20,-14,-20,-20,-20,0
396,-20,-20,-12,-20,0,-20,-5,-20,-20,-20,4
397,-20,-20,-20,-20,-15,-20,13,-20,-20,-20,6
398,-20,20,-20,-18,-20,-20,-20,-20,-20,-20,1
399,-20,-20,10,-20,-20,-20,-14,-19,-20,-20,2
400,20,-18,-19,-20,-20,-16,-12,-18,-20,-20,0
401,-20,-20,-20,-20,-20,-18,-20,-6,-20,8,9
402,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
403,17,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
404,-16,-20,-14,-4,-1,-20,-20,-19,-20,-20,4
405,-20,-20,-20,-20,7,-20,-7,-20,-20,-20,4
406,-17,-12,-12,-3,-13,-17,-18,-18,-12,-13,3
407,-11,-20,-15,-12,-17,-20,-8,-20,-20,-20,6
408,-19,-20,-1,-20,-13,-20,-14,-20,-20,-20,2
409,-11,-2,-20,-1,-17,-20,-20,-17,-20,-18,3
410,4,-20,-20,-13,-20,-20,-10,-20,-20,-20,0
411,-20,-20,-17,-20,-8,-20,7,-20,-20,-20,6
412,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
413,-11,-20,-8,-18,-20,-20,-5,-16,-20,-20,6
414,-20,-20,-20,-20,-20,-11,-20,-20,-20,20,9
415,-14,-17,-14,-8,4,-18,-20,-18,-20,-20,4
416,-20,-20,11,-20,-18,-20,-19,-20,-20,-20,2
417,-20,18,-20,-13,-20,-20,-20,-20,-20,-20,1
