sample_index,class0_sum,class1_sum,class2_sum,class3_sum,class4_sum,class5_sum,class6_sum,class7_sum,class8_sum,class9_sum,predicted_label
45,-20,-20,-18,-19,-12,-17,-18,10,-20,-10,7
46,-10,-14,3,-16,0,-19,-8,-20,-18,-20,2
47,-20,20,-17,-16,-20,-20,-20,-20,-20,-20,1
48,0,-11,4,-8,1,-12,4,-9,-9,-20,2
49,-20,-20,5,-20,-1,-20,-10,-20,-20,-20,2
50,-20,-20,-8,-20,2,-20,-14,-20,-20,-20,4
51,-11,-18,-6,-20,-6,-20,-3,-18,-17,-20,6
52,-20,-20,-15,-20,-16,5,-16,-8,-14,-20,5
53,-5,-4,3,-5,1,-9,-1,-11,5,-20,8
54,-20,-15,-3,-18,5,-20,-12,-20,-20,-20,4
55,-11,-20,-1,-20,-16,-20,-3,-20,-20,-20,2
56,-19,-20,-17,-20,-20,-20,-20,-20,20,-20,8
57,-20,-20,-10,-18,-18,-20,-16,-20,-20,-20,2
58,-15,-11,-20,-20,-20,-19,-19,-20,20,-20,8
59,13,-19,-20,-14,-20,-15,-6,-20,-18,-20,0
60,-20,-16,-15,-13,-17,-11,-12,20,-19,-20,7
61,-20,-20,-20,-20,-20,-20,-19,20,-20,-20,7
62,-20,-20,-20,-19,-20,-16,-17,-7,20,-20,8
63,-20,-20,-20,-20,-20,-2,-19,-6,-20,-19,5
64,-20,20,-20,-20,-20,-18,-20,-20,-20,-20,1
65,-20,11,-16,-7,-14,-20,-14,-20,-18,-20,1
66,-14,-17,1,-7,0,-20,-10,-20,-13,-20,2
67,-20,-17,-17,-3,-6,-20,-18,-20,-20,-20,3
68,-20,-20,-20,-20,-19,-14,-20,1,-14,-7,7
69,-17,-15,-17,-18,-12,-18,-17,-11,20,-20,8
70,-20,-20,-20,-20,-19,-6,-20,14,-20,-20,7
71,0,-16,-6,-9,-7,-3,-3,-20,-2,-20,0
72,-5,-16,13,-17,-10,-14,-5,-20,-18,-19,2
73,-12,-20,7,-20,-20,-16,-16,-20,-20,-20,2
74,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
75,-20,-4,-18,1,-19,-20,-20,-20,-17,-20,3
76,-11,20,-17,-19,-12,-20,-20,-20,-18,-20,1
77,-18,-20,7,-20,-13,-20,-16,-20,-20,-20,2
78,-8,-20,-11,-19,-15,-15,-15,-17,20,-20,8
79,-20,-20,-16,-20,16,-20,-10,-20,-20,-20,4
80,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
81,-8,-3,-6,-5,0,-15,5,-7,20,-20,8
82,-16,-20,-18,-20,-20,16,-12,-16,-20,-6,5
83,-20,-20,-16,-20,-20,-20,-20,-20,-20,20,9
84,-20,-20,-19,-20,-20,19,-20,-10,-20,-20,5
85,20,-18,-12,-20,-13,-10,-6,-20,-20,-20,0
86,-20,-9,-20,-1,-20,-20,-20,-20,-19,-20,3
87,-12,-12,4,-8,-8,-12,-2,-20,-6,-20,2
88,13,-17,-13,-17,-15,-17,-6,-18,-20,-20,0
89,-10,-9,12,-15,-5,-7,2,-13,-9,-20,2
90,-19,-9,-10,-11,-13,6,-13,-10,-17,-17,5
91,-16,-3,-15,7,-17,-20,-20,-18,-20,-20,3
92,-20,-20,-3,-20,-12,-12,-8,-20,-20,-20,2
93,-20,-17,-20,-20,-20,-20,-20,19,-20,-18,7
94,-20,17,-20,-12,-20,-20,-20,-20,-20,-20,1
95,-17,-18,-20,-20,-17,-8,-17,-18,15,-20,8
96,4,-20,-17,-20,-20,-20,-7,-20,-20,-20,0
97,-20,20,-20,-16,-20,-20,-20,-20,-20,-20,1
98,-4,-15,-3,-10,-10,-20,-13,-20,-12,-20,2
99,-20,-20,14,-20,-8,-20,-14,-20,-20,-20,2
100,-9,-13,-10,5,-17,-19,-2,-14,-17,-20,3
101,-19,-20,-12,-14,-10,-20,-4,-20,-18,-20,6
102,-20,-20,-19,-20,-20,-19,-20,17,-20,-20,7
103,-15,-20,-6,-14,-10,-17,-13,-20,-20,-20,2
104,-20,-20,-15,-20,-20,-20,-20,20,-20,-20,7
105,-16,-20,-9,-17,-19,-20,-12,-20,20,-20,8
106,-20,-20,-19,-15,-20,17,-20,-20,-20,-20,5
107,-20,-20,-20,-20,-16,-19,-20,-3,-18,-10,7
108,-18,-20,-19,-18,-20,-20,-20,-19,-20,20,9
109,-20,-20,-12,-20,8,-20,-17,-20,-20,-20,4
110,-20,-20,-1,-20,-14,-20,-8,-20,-20,-20,2
111,-20,-16,-20,-20,-19,4,-20,-16,-16,-20,5
112,-20,-20,-20,-20,-20,-18,-20,20,-15,-20,7
113,-6,-20,-4,-19,-6,-18,-6,-20,-20,-20,2
114,-12,-8,-7,-7,-9,16,-13,-11,-9,-13,5
115,-17,-20,-5,-20,-9,-16,-7,-20,-20,-20,2
116,-12,-15,-18,-20,-18,-20,-12,-20,16,-20,8
117,-14,-17,1,-13,0,-19,3,-17,-11,-20,6
118,-20,-20,-18,-20,-20,-8,-20,13,-20,-20,7
119,-12,-14,-8,-14,-10,-20,-13,-12,20,-20,8
120,5,-13,-7,-18,-18,-20,-8,-20,-7,-20,0
121,14,-17,-11,-14,-15,-13,-13,-20,-12,-20,0
122,-20,-20,-20,-10,-20,-6,-11,-17,-20,-12,5
123,-20,-20,-20,-20,-18,-20,-18,-16,-20,5,9
124,2,-9,2,8,-13,-9,-10,-20,-7,-20,3
125,17,-20,-8,-20,-9,-20,-8,-20,-14,-20,0
126,-17,-15,-19,-20,-17,-18,-18,-20,20,-20,8
127,-18,-20,-1,-20,3,-20,-14,-20,-20,-20,4
128,-20,5,-20,-5,-20,-20,-20,-20,-20,-20,1
129,-14,-8,-6,-12,-12,20,-13,-13,-5,-20,5
130,-20,-15,-4,-16,-3,-20,-5,-16,-16,-20,4
131,-20,20,-20,-16,-20,-20,-20,-20,-20,-20,1
132,-20,-20,-12,-20,-19,-9,-16,-16,-20,6,9
133,-20,20,-20,-17,-20,-20,-20,-20,-20,-20,1
134,-9,-12,-9,-19,-19,-20,-6,-11,20,-20,8
135,-14,-17,-10,-10,-9,-17,7,-20,-20,-20,6
136,-20,-20,-6,-16,-5,-20,-5,-20,-20,-20,4
137,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
138,-11,-20,-11,-20,-11,-18,-9,-20,-20,-20,6
139,-20,-19,-20,-20,-20,5,-15,-12,-20,-17,5
140,-20,20,-15,-20,-20,-20,-20,-20,-20,-20,1
141,-14,-20,-2,-8,-14,-14,-4,-20,-20,-20,2
142,14,-20,-17,-15,-18,-15,-2,-20,-20,-20,0
143,15,-9,-18,-8,-11,-14,-8,-13,-11,-20,0
144,-20,20,-20,-8,-20,-20,-20,-20,-20,-20,1
145,-8,-14,3,-7,2,-17,4,-15,-11,-19,6
146,-20,15,-20,-11,-20,-20,-20,-20,-20,-20,1
147,-16,-6,-20,-7,-16,-13,-18,-19,-15,-20,1
148,-8,-13,14,-8,-6,-19,-5,-15,-9,-20,2
149,-20,-20,6,-20,-20,-20,-16,-20,-20,-20,2
150,-20,-15,-5,4,-5,-12,1,-14,-14,-20,3
151,-9,-11,-3,-12,4,-9,1,-20,-11,-20,4
152,-20,20,-20,-8,-20,-20,-20,-20,-20,-20,1
153,-20,-17,-4,-20,-3,-20,-15,-20,-20,-20,4
154,-20,-20,-18,-20,-20,2,-17,6,-20,-20,7
155,-11,-20,4,-16,-6,-20,1,-18,-14,-20,2
156,-17,-20,-16,-7,4,-19,0,-20,-20,-20,4
157,-20,-20,-20,-20,-20,-20,-14,20,-20,-20,7
158,-20,-20,-18,-20,-20,-20,-20,-20,-20,20,9
159,-7,-19,-14,19,-18,-15,-12,-17,-18,-20,3
160,-20,-20,-20,-20,-20,-5,-20,-4,-20,-20,7
161,-20,-20,6,-16,-2,-20,-13,-20,-15,-20,2
162,-12,-20,-20,-7,-20,-20,-18,-20,-20,-20,3
163,-20,-16,-17,-20,-20,-20,-20,-20,-20,20,9
164,16,-20,-11,-18,-20,-20,-11,-20,-20,-20,0
165,-20,-20,-12,-20,-20,-20,-20,-20,-20,20,9
166,-20,-20,-4,-19,-7,-20,-5,-20,-20,-20,2
167,-20,-15,-17,-20,-20,-20,-9,7,-20,-1,7
168,-12,-20,-9,-20,0,-15,-6,-20,-14,-20,4
169,-20,-20,12,-20,-4,-17,-12,-16,-20,-20,2
170,3,-20,-17,-7,-13,-9,-6,-20,-20,-20,0
171,-19,-20,-16,-20,-20,4,-19,2,-20,-18,5
172,-13,-18,1,-14,-7,-18,-5,-19,-13,-20,2
173,-20,20,-20,-17,-20,-20,-20,-20,-20,-20,1
174,-20,-20,1,-19,-20,-18,-14,-20,-20,-20,2
175,-20,-20,-19,-9,-12,-20,-17,-20,-20,-20,3
176,-7,-12,-5,9,-11,-20,-8,-20,-18,-20,3
177,9,-15,-8,-15,-16,-19,-10,-15,-14,-20,0
178,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,9
179,-20,20,-20,-16,-18,-20,-20,-20,-20,-20,1
180,13,-11,-20,-14,-10,-12,-4,-17,-20,-20,0
181,-20,-20,-20,-20,-18,-20,-17,-13,-20,20,9
182,-10,-20,-3,-6,-13,-9,-2,-20,-15,-16,6
183,-17,-20,-20,-19,-13,-20,-8,-20,-9,-20,6
184,-20,-19,-20,-17,-20,-12,-20,14,-20,-20,7
185,-19,-20,-20,-20,-20,-20,-20,-20,-20,20,9
186,-20,-15,-8,-18,-16,-17,-15,-20,-17,20,9
187,-20,-20,-13,-20,5,-20,-14,-20,-20,-20,4
188,-20,-20,-5,-20,3,-20,-18,-20,-20,-20,4
189,-20,-20,-20,-17,-20,-12,-20,17,-20,-20,7
190,-11,3,-15,-20,-17,-19,-10,-20,-20,-20,1
191,-5,-13,-3,-12,-17,-20,0,-16,-11,-20,6
192,-16,-2,-19,-6,-16,-20,-20,-20,-15,-20,1
193,-20,-20,-8,-20,-15,-20,-8,-20,-19,-20,2
194,-16,-15,-14,3,-15,-15,-15,-15,-20,-20,3
195,-20,-20,-10,-20,-13,-20,-3,-20,-20,-20,6
196,-14,-19,-13,-19,-20,-15,-9,-20,19,-20,8
197,-20,-17,0,2,-8,-17,-10,-20,-10,-20,3
198,-12,-20,-17,-14,-6,-19,-8,-20,-12,-20,4
199,-20,20,-20,-15,-20,-20,-20,-20,-20,-20,1
200,-19,18,-12,-13,-17,-18,-20,-18,-14,-20,1
201,14,-17,-13,-13,-13,-17,-2,-19,-18,-20,0
202,-20,-20,2,0,-17,-17,-20,-20,-19,-20,2
203,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,9
204,-8,-11,7,-10,-8,-10,4,-16,-19,-20,2
205,-20,-20,-1,-20,12,-20,-7,-17,-20,-20,4
206,5,-13,-16,-17,-13,-19,-1,-18,-20,-20,0
207,-19,-20,-13,-20,-20,-11,-20,17,-20,-20,7
208,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,9
209,-7,-13,-6,0,0,-10,-10,-14,-4,-4,3
210,-20,-19,-17,-20,6,-20,-10,-20,-14,-20,4
211,-20,20,-18,-15,-20,-20,-18,-19,-20,-20,1
212,-4,-5,-6,-10,-1,-13,0,-14,9,-20,8
213,-20,-20,9,-20,0,-20,-7,-16,-20,-20,2
214,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
215,-17,-15,-20,20,-20,-20,-19,-16,-20,-20,3
216,-20,18,-18,-11,-20,-20,-20,-20,-20,-20,1
217,-14,-19,-8,-18,-10,-20,-6,-20,-20,-20,6
218,-20,-20,-20,-19,-20,-20,-20,20,-20,-20,7
219,-12,-8,-7,-16,-11,-14,-16,-20,-16,-20,2
220,-9,-10,-2,-11,-10,-9,-10,-11,20,-20,8
221,-16,-15,-14,-14,-13,7,-12,-13,-14,-13,5
222,-6,-18,-1,-8,-4,-20,-1,-17,-17,-20,2
223,6,-20,-20,-20,-20,-19,-12,-20,-20,-20,0
224,-20,-20,-20,-20,-20,-16,-20,20,-20,-20,7
225,-20,-20,-20,-20,-19,-20,-20,20,-20,-20,7
226,9,-8,-11,-6,-14,-1,7,-19,-17,-20,0
227,-20,-20,2,-18,-14,-20,-5,-20,-20,-20,2
228,-20,-20,-16,-17,-16,2,-15,12,-20,-20,7
229,-5,-20,-20,-20,-20,-17,3,-20,-20,-20,6
230,-20,-20,-20,-20,-20,-14,-20,20,-17,-12,7
231,-15,-14,-6,-13,-18,-12,-15,-19,14,-20,8
232,-20,-20,-13,-20,-17,-20,-20,-20,-20,20,9
233,-19,-20,10,-20,-20,-13,-9,-20,-20,-20,2
234,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,9
235,3,-17,-12,-18,-17,-19,-4,-20,-20,-20,0
236,-19,-18,-17,-20,-19,20,-18,-13,-15,-19,5
237,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
238,-20,-20,-13,-9,3,-20,-18,-20,-14,-20,4
239,-17,-17,4,-9,2,-18,-11,-16,-9,-15,2
240,-20,-20,-16,-11,-20,20,-14,-16,-19,-16,5
241,-20,-20,-20,-20,-7,-20,0,-20,-16,-20,6
242,-13,-8,-13,-11,-15,-17,-7,-17,-12,9,9
243,-13,-20,-6,-20,-2,-20,-4,-20,-20,-20,4
244,-17,-13,10,-11,-18,-20,-7,-20,-12,-20,2
245,-16,-12,-17,-19,-14,-20,-20,-20,20,-20,8
246,-20,-20,-14,-20,-8,-20,5,-20,-20,-20,6
247,-18,-20,-11,-20,-12,-20,-9,-20,-20,-20,6
248,-16,-20,-19,-19,-18,-20,-4,-20,-20,-20,6
249,-11,-20,-9,-14,-11,-17,0,-20,-9,-20,6
250,-20,-20,-16,-20,-20,-20,-20,-20,-20,20,9
251,-19,-20,-20,-17,-20,-20,-20,20,-20,-20,7
252,-9,-14,-7,-11,-8,-20,-11,-20,-17,-20,2
253,-20,-20,-20,-14,-20,16,-16,-10,-20,-20,5
254,-20,-20,-20,-20,-20,2,-17,-10,-18,-20,5
255,-20,-20,5,-19,-10,-14,-6,-20,-17,-20,2
256,-20,-20,-20,-16,-19,-19,-20,-20,20,-20,8
257,-20,-19,-8,-19,-19,12,-18,0,-13,-17,5
258,-20,-20,5,-20,-18,-15,-2,-20,-20,-20,2
259,-17,-15,-17,9,-18,-20,-17,-16,-12,-19,3
260,17,-19,-15,-20,-18,-14,-6,-18,-20,-20,0
261,-20,-20,-11,-20,9,-20,-6,-20,-20,-20,4
262,-20,-20,-14,-20,-19,-17,-19,-9,6,-20,8
263,13,-17,-11,-20,-16,-20,-11,-20,-17,-20,0
264,16,-20,-15,-20,-20,-15,-3,-20,-20,-20,0
265,-20,-20,-19,-20,-20,-20,-15,-20,-20,-20,6
266,-20,-18,-12,2,-13,-20,-18,-20,-17,-20,3
267,-17,-18,-6,-14,-18,-20,-13,-19,16,-20,8
268,-20,-20,-20,-20,-20,-20,-20,-2,-20,15,9
269,2,-13,-14,-3,-13,-20,1,-20,-19,-20,0
270,-16,19,-16,-14,-20,-17,-19,-20,-20,-20,1
271,-11,-20,-16,-6,-5,-16,4,-20,-18,-20,6
272,13,-17,-18,-19,-11,-12,-4,-17,-20,-20,0
273,-20,-18,10,-2,-5,-20,-16,-20,-19,-20,2
274,-18,-20,-20,19,-20,-19,-20,-17,-20,-20,3
275,20,-18,-19,-20,-18,-10,-8,-20,-17,-20,0
276,-20,-20,-20,-20,-20,-20,-18,-14,20,-20,8
277,-7,-15,-18,5,-18,-20,-5,-13,-14,-20,3
278,-18,-18,-13,-12,-18,4,-20,8,-20,-14,7
279,-15,-20,-5,-20,7,-18,-2,-18,-15,-20,4
280,14,-14,-15,-1,-15,-15,-13,-16,-16,-20,0
281,-15,20,-20,-16,-20,-20,-20,-19,-20,-20,1
282,-15,-19,-4,-5,2,-20,1,-15,-18,-20,4
283,-15,-4,-20,-10,-9,-20,-20,-20,-16,-16,1
284,1,-20,-20,-20,-18,-19,-12,-20,-20,-20,0
285,-20,-20,-9,-20,0,-18,-9,-14,-20,-20,4
286,-12,-15,-5,-20,-13,-20,-7,-20,-20,-20,2
287,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
288,-18,-20,-20,-20,-20,7,-12,-20,-5,-20,5
289,-11,-14,-19,2,-2,-20,-10,-20,-17,-20,3
290,-20,-20,-20,-20,-20,-2,-20,-15,-20,-20,5
291,-19,-19,-16,-19,-17,-13,-18,-14,-20,20,9
292,-19,-16,-17,-18,-19,17,-12,-9,-20,-19,5
293,1,-20,-19,-12,-16,-17,-6,-20,-20,-20,0
294,-20,-20,-20,-20,-20,6,-20,-3,-20,-20,5
295,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,5
296,-16,20,-20,-15,-17,-15,-15,-18,-19,-20,1
297,-19,-17,-8,-15,-20,-20,-15,-18,-20,20,9
298,-13,-20,-15,-12,-20,-13,-8,-20,7,-13,8
299,-12,-8,-19,3,-19,-14,-19,-15,0,-20,3
300,-20,-17,-20,13,-20,-20,-20,-20,-20,-20,3
301,-20,-19,-10,9,-9,-20,-15,-20,-20,-20,3
302,-20,-20,1,-20,-15,-20,-5,-20,-20,-20,2
303,-19,-20,-7,-20,-20,-20,-17,-20,15,-20,8
304,15,-19,-9,-20,-18,-17,-3,-19,-20,-20,0
305,12,-20,-20,-20,-16,-20,-4,-20,-20,-20,0
306,-20,-20,3,-20,-2,-20,-16,-20,-20,-20,2
307,-20,-20,-20,-20,-20,-20,-20,-20,-20,20,9
308,-20,-20,-20,-20,-20,-1,-20,-4,-20,-20,5
309,-20,-20,-19,-20,-20,-20,-20,10,-20,-7,7
310,-20,20,-20,-13,-20,-20,-20,-17,-20,-20,1
311,-20,-9,-19,0,-18,-20,-15,-20,-20,-20,3
312,-1,-7,6,-8,-4,-9,6,-11,1,-19,2
313,-20,-20,-13,-13,-3,-20,-11,-20,-20,-20,4
314,-11,-17,5,-8,-8,-12,-7,-20,-16,-20,2
315,-20,-20,-2,-14,0,-17,-12,-20,-20,-20,4
316,-20,-15,-19,-18,-15,-19,-17,7,-5,-2,7
317,-20,20,-16,-15,-20,-20,-18,-20,-20,-20,1
318,-5,-17,-5,-12,2,-20,-3,-20,-11,-20,4
319,-20,-20,-16,-20,4,-14,3,-20,-20,-20,4
320,-16,-16,-11,-18,-20,-16,-11,-15,9,-20,8
321,-20,-20,3,-20,-10,-18,0,-17,-20,-20,2
322,9,-14,-10,-20,-6,-17,0,-20,-20,-20,0
323,-20,-20,-20,-20,-20,9,-20,-10,-20,-20,5
324,-20,-20,-17,-18,-9,-20,-4,-20,-20,-20,6
325,-20,-20,-9,-20,-20,-20,-15,-20,-20,-20,2
326,-20,-20,-13,-20,-20,-7,-20,20,-17,-20,7
327,-20,-18,-16,-16,-17,-20,-14,20,-18,-20,7
328,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
329,-18,-15,-12,4,-19,-20,-20,-20,-20,-20,3
330,-16,-20,-20,13,-20,-20,-20,-20,-20,-20,3
331,-20,-20,-15,-20,-17,-20,-20,-5,-9,1,9
332,-17,-20,1,-6,-8,-19,-10,-20,-18,-20,2
333,-20,-20,-18,-20,-20,-20,-20,20,-20,-20,7
334,-11,9,-20,-1,-18,-20,-17,-20,-20,-20,1
335,-9,-17,-15,20,-18,-16,-7,-13,-20,-20,3
336,-20,-20,-20,-20,-20,-7,-20,17,-20,-20,7
337,1,-13,-1,-7,-7,-17,-11,-12,-6,-17,0
338,-20,-20,-13,-15,-19,-20,-14,-20,-20,-20,2
339,-20,-12,-20,12,-20,-20,-20,-20,-20,-20,3
340,-13,-18,2,-16,4,-20,-6,-20,-4,-20,4
341,-1,-15,-16,-7,-15,-18,-2,-17,-16,-20,0
342,-13,-1,-20,-9,-20,-20,-20,-20,-20,-20,1
343,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
344,-18,-20,-17,-20,-19,-20,-1,-20,-20,-20,6
345,-20,20,-19,-18,-20,-20,-20,-20,-20,-20,1
346,-18,-14,-10,-14,-17,-20,-18,-11,-14,20,9
347,-20,-20,-16,-20,-2,-20,-8,-20,-20,-20,4
348,-20,-20,-19,-16,-20,-11,-16,-15,-15,11,9
349,-18,-19,-20,-8,-20,-20,-20,-20,-20,20,9
350,-18,20,-20,-9,-20,-20,-20,-20,-20,-20,1
351,-20,-20,-20,-20,-20,-5,-20,14,-20,-20,7
352,-14,-16,-7,-20,-14,-20,-16,-19,15,-20,8
353,-20,-20,-7,-1,-11,-20,-15,-20,-20,-15,3
354,-7,-20,-19,-19,-19,-14,2,-20,-13,-20,6
355,8,-20,-19,-18,-18,-20,-7,-20,-16,-20,0
356,-12,-20,5,-18,-5,-18,-10,-20,-20,-20,2
357,-20,-20,6,-12,0,-20,-10,-20,-20,-20,2
358,-14,-16,-3,-18,-2,-20,-13,-20,9,-20,8
359,-2,-12,-1,-6,-6,-14,-4,-20,-15,-20,2
360,-20,20,-20,-14,-20,-20,-20,-20,-20,-20,1
361,-20,-20,6,-20,-12,-20,-15,-20,-20,-20,2
362,-20,-20,16,-20,-9,-20,-14,-20,-20,-20,2
363,-20,-18,-6,-20,5,-20,-10,-20,-17,-20,4
364,-20,-20,-12,-20,-1,-16,-4,-20,-19,-20,4
365,-20,-20,-20,-20,-20,-16,-20,20,-20,-20,7
366,-20,-14,-20,3,-20,-20,-20,-20,-20,-20,3
367,-1,-9,3,-12,-11,-11,-10,-20,-4,-20,2
368,-20,-20,4,-20,-12,-18,-6,-20,-20,-20,2
369,-20,-20,-20,-20,-20,-8,-20,2,-12,-20,7
370,-5,-20,-20,-20,-19,-20,-16,-20,-20,-20,0
371,-18,-20,-20,-20,-20,4,-20,3,-20,-20,5
372,-20,-17,-17,-20,-11,-15,-11,-10,-17,13,9
373,-20,-20,-6,-16,9,-20,-12,-18,-20,-20,4
374,0,-20,-10,-20,-20,-20,-13,-20,-20,-20,0
375,-20,-17,-16,-20,-20,-20,-19,-20,-20,18,9
376,-16,-16,-10,11,-20,-20,-16,-18,-19,-20,3
377,-20,-20,-20,-20,-20,-20,-14,-18,-20,19,9
378,-20,-20,-20,-5,-14,-19,-19,-20,-8,-20,3
379,-18,-20,-3,-20,-19,-20,-11,-20,-20,-20,2
380,-20,-20,-16,-20,-20,20,-20,-20,-19,-20,5
381,-2,-13,4,-4,-3,-9,2,-18,-8,-20,2
382,-10,-14,-12,-20,-17,-20,-4,-20,-4,-20,6
383,-20,-20,-20,20,-20,-20,-20,-20,-20,-20,3
384,-13,-20,-20,-18,-12,20,-16,-20,-14,-16,5
385,-16,-19,-18,-20,-20,-12,-14,-20,13,-20,8
386,-20,20,-19,-18,-20,-20,-20,-20,-20,-20,1
387,-1,-14,2,-13,-2,-16,-2,-17,-12,-18,2
388,-14,-20,-8,-15,-20,-20,-14,-20,-20,-20,2
389,-20,-20,-15,-20,-14,-20,1,-20,-18,-20,6
390,-20,-20,-20,-20,-10,-20,-4,-20,-20,-17,6
391,-20,-20,-8,-20,3,-16,-12,-20,-20,-20,4
392,-18,-20,-16,-20,-20,-20,-20,-8,-20,5,9
393,-20,-16,-18,-12,-18,20,-16,-18,-16,-18,5
394,-20,-20,3,-13,-6,-20,-6,-20,-12,-20,2
395,15,-11,-14,-18,-16,-16,-5,-17,-20,-20,0
396,-9,-20,0,-13,-12,-20,-12,-20,-19,-20,2
397,-20,-20,-11,-17,-5,-18,-4,-20,-20,-20,6
398,-20,17,-14,-11,-20,-20,-18,-20,-20,-20,1
399,-20,-20,4,-20,-16,-20,-8,-20,-20,-20,2
400,4,-19,-14,-17,-20,-16,4,-20,-20,-20,0
401,-20,-20,-17,-20,-20,-19,-20,-15,-20,20,9
402,-20,-20,-20,-20,-20,-16,-20,20,-20,-20,7
403,18,-19,-19,-13,-20,-17,-1,-20,-20,-20,0
404,-20,-20,-11,-18,-9,-16,-18,-20,-12,-20,4
405,-20,-20,-8,-20,0,-15,-15,-20,-18,-20,4
406,-19,-17,-13,-6,-16,-19,-4,-20,-5,-20,6
407,-4,-20,-13,-14,-20,-20,-7,-20,-20,-20,0
408,-20,-20,-18,-20,-20,-20,-3,-20,-20,-20,6
409,-12,20,-20,-17,-16,-20,-18,-19,-19,-20,1
410,-6,-20,-17,-20,-20,-20,-9,-20,-20,-20,0
411,-20,-20,-11,-20,-17,-20,-1,-20,-20,-20,6
412,-20,-20,-20,-20,-20,-5,-20,20,-20,-20,7
413,-11,-20,-4,-9,1,-18,3,-20,-20,-20,6
414,-20,-20,-19,-16,-20,-20,-20,-20,-20,20,9
415,-20,-20,-20,-9,2,-20,-15,-20,-16,-20,4
416,-3,-18,6,-12,-13,-20,-11,-20,-20,-20,2
417,-19,13,-19,-11,-18,-20,-20,-20,-18,-20,1
418,-20,-20,-18,-20,-20,-3,-20,-19,-3,-20,5
