sample_index,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,predicted_label
40,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
41,-20,-20,7,-20,-20,-20,-20,-5,-20,-20,2
42,-20,-17,-20,-20,20,-20,-20,-20,-20,-20,4
43,-20,-15,4,-16,-20,-20,-20,-20,-20,-20,2
44,-20,-20,-20,-14,-20,-17,-20,-20,-20,-20,3
45,-12,-20,-20,-20,-20,15,-20,-20,-20,-20,5
46,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
47,-20,-20,20,-20,-20,-20,-20,-20,-20,-20,2
48,-20,-20,-20,-20,5,-20,-20,-20,-20,-19,4
49,-20,-20,-20,-19,20,-20,-20,-20,-17,-20,4
50,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,6
51,-20,-20,-20,12,-20,-20,-20,-20,-20,-20,3
52,-20,-20,-20,-19,-20,3,-20,-20,-20,-20,5
53,-20,-20,-20,-18,-20,12,-20,-20,-20,-17,5
54,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,6
55,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
56,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,4
57,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
58,-20,-20,-20,-20,-20,-20,-20,-20,-20,13,9
59,-20,-20,-20,-20,-18,3,-20,-20,-5,-20,5
60,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
61,-20,-20,-20,-11,-20,-20,-20,-20,-13,-20,3
62,-20,-20,-20,-20,-20,-20,-20,-20,-12,-20,8
63,-20,-20,-7,-2,-20,-20,-20,-20,-20,-20,3
64,-20,-20,-16,-20,-20,-20,-20,11,-20,-20,7
65,-20,-16,-20,-20,7,-20,-20,-20,-20,-19,4
66,0,-20,-20,-20,-20,-20,6,-20,-20,-20,6
67,-20,-20,-20,-12,0,-20,-20,-20,-20,-13,4
68,-20,-20,-20,20,-20,-20,-20,-20,-20,-20,3
69,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
70,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
71,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
72,-10,-20,17,-20,-20,-20,-20,-20,-20,-20,2
73,-20,-20,-20,-20,-20,-20,-20,-20,-10,-20,8
74,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
75,-20,-20,-20,-20,-7,-20,-20,1,-20,-20,7
76,-20,-20,-20,15,-20,-20,-20,-20,-20,-20,3
77,-20,-20,-2,-20,-20,-20,-20,-20,-20,-12,2
78,-20,-20,-20,-20,-20,-20,-20,-20,-15,0,9
79,-16,-20,-20,-20,-20,-20,-20,17,-20,-20,7
80,-20,-20,-20,-20,-15,-20,-20,-4,-20,-20,7
81,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,6
82,-20,-20,20,-20,-20,-20,-20,-20,-20,-20,2
83,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
84,-20,-20,-20,-20,-20,-20,-8,-20,1,-13,8
85,-20,-14,-17,-20,14,-20,-20,-20,-20,-20,4
86,-20,-20,-20,-20,-20,-20,-20,15,-20,-20,7
87,-20,-20,-20,6,-20,-17,-20,-20,-20,-20,3
88,-20,-20,-20,-20,-20,-20,20,-20,-19,-20,6
89,-20,11,-20,-20,-20,-20,-20,-20,-20,-20,1
90,-20,-20,-14,0,-20,-20,-20,-20,-20,-20,3
91,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,6
92,-20,-19,-20,-20,-20,-20,-20,-20,-20,-20,1
93,-20,-20,-20,-17,-20,-20,-20,-20,-20,-20,3
94,-20,17,-20,-20,-20,-20,-20,-20,-20,-20,1
95,-20,-20,-20,-20,0,-20,-4,-20,-20,-20,4
96,-20,16,-20,-20,-20,-20,-20,-20,-20,-20,1
97,-20,-20,-20,-20,-20,-20,-20,7,-16,-20,7
98,-20,-16,-15,-20,-20,-20,13,-20,-20,-20,6
99,-20,-20,-20,-19,-20,-20,-20,-20,-20,-6,9
100,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,6
101,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
102,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,5
103,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,4
104,-20,-20,-20,-19,-20,-13,-20,-20,-20,-5,9
105,-20,-20,-20,-20,-20,-20,-20,-20,-20,16,9
106,-20,-20,20,-17,-20,-20,-20,-20,-17,-20,2
107,-20,17,-20,-20,-20,-20,-18,-20,-20,-20,1
108,-20,-20,-20,-20,-20,-20,-20,-13,-20,3,9
109,-20,-20,-20,-20,2,-20,-5,-20,-20,-20,4
110,-20,-20,-20,-20,-20,-20,-20,-20,16,-20,8
111,-20,-20,-20,-20,-20,-20,-20,0,-20,-20,7
112,-20,-20,-19,-8,-20,-20,-20,-20,-20,-20,3
113,-20,-20,-20,-20,-20,-20,-20,-20,-19,-9,9
114,-20,-20,-15,-20,-20,-20,-20,-14,-20,-20,7
115,-20,-20,-20,-20,-13,-20,-14,-20,-20,-16,4
116,-20,-20,-20,-20,7,-20,-20,-20,-20,-20,4
117,-20,-20,-20,-20,13,-20,-20,-20,-20,-20,4
118,-20,-20,-20,-20,-20,-20,-20,-20,-20,12,9
119,-20,-20,-13,-20,-20,-20,-20,-18,-20,-7,9
120,-20,-20,-20,-20,-20,18,-20,-20,-20,-20,5
121,-20,-20,-20,-20,-10,-20,-20,-20,-20,-20,4
122,-20,-20,-20,-20,-20,-20,-20,9,-20,-20,7
123,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,6
124,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
125,-20,-20,-19,-20,-20,-20,-20,-20,-20,-7,9
126,3,-20,-14,-18,-20,-20,-20,-20,-20,-17,0
127,-20,-20,-20,-19,-20,20,-20,-20,-15,-20,5
128,-20,-20,-20,-20,-20,-20,-20,-20,14,-20,8
129,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,5
130,-20,-20,-20,-20,-20,-20,17,-20,-20,-20,6
131,-20,-20,-20,-20,-20,-20,14,-20,-20,-20,6
132,-20,-20,-20,-20,-20,6,-20,-20,-7,-20,5
133,-20,-20,-20,-13,-20,-20,-20,-12,-20,-20,7
134,-20,-20,-20,-20,-20,-20,-20,-20,20,-20,8
135,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
136,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
137,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
138,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,6
139,-20,-20,-20,-19,-7,-20,-20,-20,-20,-20,4
140,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,6
141,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
142,-20,-20,-8,-7,-20,-20,-20,-20,-20,-20,3
143,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
144,-20,-20,-13,-20,-20,-20,-20,-3,-20,-20,7
145,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
146,-20,-20,-20,-20,-20,-20,-20,-20,20,-19,8
147,-20,-20,16,-20,-20,-20,-20,-20,-20,-20,2
148,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
149,-20,-20,-3,-7,-20,-20,-20,-20,-20,-13,2
150,-20,-20,-20,-20,-20,-20,-20,-20,-19,10,9
151,-20,-20,-20,-20,-20,-20,-20,-20,-7,-12,8
152,-20,-20,-20,-20,-20,20,-20,-20,-19,-20,5
153,-20,-20,-20,-18,-20,20,-20,-20,-20,-20,5
154,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
155,-20,-20,-20,-20,-14,20,-19,-20,-20,-20,5
156,-20,-20,-20,-20,-20,-18,20,-20,-20,-20,6
157,20,-20,-20,-20,-20,-20,-20,-20,-20,-15,0
158,-14,-20,-18,-4,-20,-20,-20,-20,-20,-20,3
159,-20,-20,-20,-20,7,-20,-13,-20,-20,-20,4
160,-20,-20,-20,-20,-1,-20,-18,-20,-16,-20,4
161,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,6
162,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,5
163,-20,-20,-20,-20,6,-20,-20,-20,-20,-20,4
164,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,6
165,-20,-20,-20,-20,-20,19,-20,-18,-20,-20,5
166,-20,-20,-20,-20,4,-20,-20,-20,-20,-20,4
167,-20,-20,-20,-14,-20,-10,-20,-20,-20,-20,5
168,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
169,-20,-20,-20,-20,14,-20,-20,-20,-20,-20,4
170,-20,-20,-20,-20,11,-20,-20,-15,-20,-20,4
171,-20,-20,-20,-19,-20,-20,-20,-3,-20,-17,7
172,-20,-20,14,-20,-20,-20,-20,-20,-20,-20,2
173,-20,-20,-13,6,-20,-17,-20,-20,-20,-20,3
174,-20,-20,0,-20,-20,-20,-20,-20,-20,-20,2
175,-20,-13,-12,-20,-20,-20,-20,-20,-20,-20,2
176,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
177,-20,-20,-20,-20,-20,-20,-20,-20,2,-20,8
178,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
179,-20,-20,-20,-20,-20,-20,-20,-20,12,-20,8
180,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
181,-20,-20,-20,-11,-20,-20,-20,-20,20,-20,8
182,-20,-20,-20,-20,-20,-1,-20,-20,-14,-20,5
183,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
184,-20,-20,-20,-6,-20,-20,-20,-20,-8,-20,3
185,-20,-20,-20,-20,-20,-20,-15,-20,-20,-12,9
186,-20,-19,20,-19,-20,-20,-20,-17,-20,-20,2
187,-20,-20,-20,-20,-20,6,-20,-20,-20,-20,5
188,8,-20,-20,-20,-20,-20,-19,-20,-17,-20,0
189,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
190,-20,20,-20,-20,-20,-20,-20,-20,-16,-20,1
191,-20,20,-20,-20,-18,-20,-20,-20,-20,-20,1
192,18,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
193,-14,-20,-19,-20,-20,-18,-20,-18,-19,-10,9
194,15,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
195,-20,-20,-20,-10,-20,-18,-20,-20,-20,-20,3
196,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
197,-20,-20,-20,-20,-20,-18,20,-20,-20,-20,6
198,-20,-20,-20,-20,7,-20,-20,-20,-20,-20,4
199,-20,-20,20,-20,-20,-20,-20,-20,-20,-20,2
200,-20,-20,-20,20,-20,-20,-20,-20,-20,-20,3
201,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,6
202,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
203,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
204,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
205,-20,-20,-20,12,-20,-20,-20,-19,-20,-20,3
206,-20,-20,-20,-20,-20,-20,-20,-20,-14,-1,9
207,-20,-20,-20,-6,-20,-1,-20,-20,-20,-20,5
208,-20,-20,20,-20,-20,-20,-20,-20,-20,-20,2
209,-20,-20,-20,-20,-20,-20,-20,-20,-20,-9,9
210,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,4
211,-20,-20,-20,-20,-18,-12,-20,-20,-16,-20,5
212,-20,-20,-20,-20,-20,-20,-20,-20,-20,-7,9
213,-20,-20,-20,-6,-20,-20,-20,-20,-15,-18,3
214,-20,-20,-20,-20,-20,-20,-20,-20,-6,-2,9
215,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
216,-20,-20,-19,10,-20,-20,-20,-20,-20,-20,3
217,-20,-20,-20,-20,-20,-20,9,-20,-5,-20,6
218,-20,-20,-20,-20,-20,8,-20,-19,-20,-20,5
219,-20,-20,-20,-20,-20,10,-20,-20,-20,-20,5
220,-20,-20,-20,-20,-20,-20,-20,5,-20,-10,7
221,-20,-20,-9,-7,-20,-20,-20,-20,-20,-20,3
222,-20,-20,8,-20,-20,-20,-20,-20,-20,-20,2
223,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
224,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
225,-20,-20,10,-20,-20,-20,-20,-20,-20,-20,2
226,-20,-20,-20,-19,-20,-20,-20,-20,7,-20,8
227,-20,-20,-20,-20,7,-20,-20,-20,-20,-20,4
228,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
229,-20,-20,-20,-20,-20,-20,-20,18,-20,-20,7
230,-20,-20,-20,1,-20,-18,-20,-20,-20,-20,3
231,-20,-20,-17,-5,-20,-20,-20,-20,-7,-20,3
232,-20,-20,-20,-20,-20,-17,-20,-20,13,-20,8
233,-20,-20,-20,-17,-20,-20,-20,-14,-5,-18,8
234,-20,-20,-19,-20,-20,-20,-20,16,-20,-20,7
235,-20,-20,-20,-20,-20,-20,-20,-20,-11,-7,9
236,-20,-20,10,-1,-20,-18,-20,-20,-19,-20,2
237,-20,-20,20,-20,-20,-20,-20,-20,-20,-20,2
238,-20,-20,-20,-20,18,-20,-20,-20,-20,-20,4
239,-20,20,-20,-20,-16,-20,-20,-20,-20,-20,1
240,-20,-20,-20,-19,-20,19,-20,-20,-20,-20,5
241,-20,-20,-20,-20,-20,-20,-20,-20,-20,-10,9
242,-16,-20,-20,-20,-20,-20,-16,-20,-5,-20,8
243,-20,-20,-19,-20,-20,-16,-20,-6,-20,-19,7
244,-20,-20,9,-20,-20,-20,-20,-20,-9,-20,2
245,-20,-20,-20,0,-20,-18,-20,-20,-20,-20,3
246,14,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
247,-20,-20,-18,-20,-13,-20,-11,-20,-20,-20,6
248,-20,-20,-20,-20,7,-20,-20,-20,-20,-19,4
249,-20,-20,20,-20,-20,-20,-20,-20,-20,-20,2
250,-17,-20,-20,-20,1,-20,-20,-20,-20,-20,4
251,-20,15,-20,-20,-20,-20,-20,-20,-20,-20,1
252,-20,-20,-20,-20,-20,-20,-20,-19,-20,11,9
253,-20,-20,-20,-13,-20,19,-20,-20,-20,-20,5
254,-20,-20,-20,-20,-20,-20,-20,17,-20,-20,7
255,-20,-20,-20,-20,-20,-20,-20,6,-20,-17,7
256,-20,-20,20,-19,-20,-20,-20,-20,-20,-20,2
257,-20,-20,-20,-16,-20,-20,-20,-20,-7,-20,8
258,-20,-20,18,-10,-20,-20,-20,-20,-20,-20,2
259,-19,-20,-20,-20,-20,-20,20,-20,-20,-20,6
260,-20,-20,-17,-20,-20,-17,-20,-20,17,-20,8
261,-20,-20,-20,-20,-20,3,-20,-20,-10,-20,5
262,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
263,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
264,-20,-20,-18,-20,-19,-20,-20,-20,-16,-15,9
265,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
266,-20,-20,-20,-20,-20,-20,-20,-20,-14,-20,8
267,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
268,-20,-20,-20,-3,-20,-20,-20,-20,-4,-20,3
269,13,-20,-19,-20,-20,-20,-20,-20,-20,-20,0
270,-20,-20,-20,18,-20,-15,-20,-20,-20,-20,3
271,13,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
272,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
273,-20,-20,-20,-20,-20,-20,-20,-20,-20,13,9
274,-20,-20,-20,-20,-20,-20,-20,-20,-20,4,9
275,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,4
276,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
277,-20,-20,-20,-20,-20,-20,-20,-20,11,-20,8
278,-20,-20,8,-20,-20,-20,-20,-20,-20,-14,2
279,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
280,-20,-20,20,-20,-20,-20,-20,-20,-20,-20,2
281,-20,-20,-20,-20,-20,-20,-20,-20,-20,5,9
282,-20,-19,-20,-18,-20,-20,-20,-20,-19,-16,9
283,-20,-20,-20,-20,-20,20,-20,-20,-18,-20,5
284,-20,-20,-20,-20,-20,-20,-20,-20,-20,10,9
285,-20,-20,17,-18,-20,-20,-20,-20,-20,-20,2
286,-20,-20,-20,-20,-20,-20,9,-20,-17,-20,6
287,-20,-20,-20,-20,-12,-20,-20,-11,-20,-20,7
288,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
289,-20,-20,-20,-20,-20,4,-20,-20,-20,-20,5
290,-20,-20,-20,-20,-16,-20,-16,-20,-14,-20,8
291,-20,-20,11,-20,-20,-20,-19,-20,-20,-20,2
292,-20,-20,-20,-20,-20,-20,-20,-20,-20,-10,9
293,-20,-20,3,-13,-20,-20,-20,-20,-20,-20,2
294,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
295,-20,-20,-20,-20,12,-20,-20,-20,-20,-14,4
296,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
297,19,-20,-20,-18,-18,-20,-19,-20,-20,-20,0
298,-20,-20,20,-15,-20,-20,-20,-20,-20,-20,2
299,-20,-20,-20,-18,-20,-20,-20,-20,20,-20,8
300,-20,-20,-18,-20,-2,-20,-13,-20,-20,-20,4
301,-20,-20,-16,-15,-20,-20,-20,-1,-20,-20,7
302,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
303,-20,-20,6,-20,-20,-20,-20,-20,-15,-13,2
304,-20,-20,-20,-20,11,-20,-19,-20,-10,-20,4
305,20,-20,-20,-20,-20,-15,-20,-20,-19,-20,0
306,-20,-20,20,-20,-20,-20,-20,-20,-20,-20,2
307,-20,-20,-20,-14,-20,-20,-20,-5,-20,-19,7
308,-20,-20,-20,-20,3,-20,-20,-20,-8,-20,4
309,-20,-19,-20,-1,-20,-20,-20,-20,-20,-20,3
310,-20,-20,-20,2,-20,-20,-20,-20,-20,-20,3
311,19,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
312,20,-20,-20,-20,-20,-20,-20,-20,-16,-20,0
313,-20,-20,-20,6,-20,-20,-20,-20,-20,-20,3
314,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
315,-20,-20,-20,-20,-20,-20,-20,-20,-20,5,9
316,-20,-20,-20,-20,-20,-18,5,-20,-16,-10,6
317,-20,-20,-20,-20,-20,3,-20,-20,-20,-20,5
318,-17,-20,-9,7,-20,-20,-20,-20,-20,-20,3
319,-20,-20,-20,-16,-20,5,-5,-20,-20,-20,5
320,-20,-17,-20,-20,-20,-20,-20,-17,-14,-14,8
321,-20,-20,-14,-20,-20,-20,-20,8,-20,-20,7
322,-20,-20,-20,-20,-20,-20,-20,-20,-9,-2,9
323,-20,-20,-20,20,-20,-20,-20,-20,-19,-20,3
324,-5,-17,-20,-20,-20,-19,-20,-20,-20,-20,0
325,-20,-17,-20,-18,-6,-20,-12,-20,-20,-20,4
326,-20,-7,3,-20,-20,-20,-20,-20,-20,-20,2
327,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
328,-20,-20,-20,-13,-20,-20,-20,-9,-11,-18,7
329,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
330,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
331,-20,-20,20,-20,-20,-20,-20,-20,-20,-20,2
332,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
333,-20,-17,-20,-15,-20,14,-20,-20,-13,-20,5
334,-20,-20,-12,15,-20,-20,-20,-20,-20,-20,3
335,-20,-20,-20,-2,-20,-20,-20,-20,-10,-20,3
336,-20,-20,-20,-20,-20,-20,-20,-20,-20,7,9
337,-20,-20,-20,-20,-20,-20,-20,1,-20,-15,7
338,-15,-20,-18,-18,-20,-17,-20,-20,-5,-20,8
339,-20,-20,-20,-20,-18,-11,4,-20,-20,-20,6
340,-20,-20,-20,-15,-20,-8,-11,-20,-20,-20,5
341,-20,-20,-20,-20,-16,-20,-2,-20,-20,-15,6
342,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
343,-20,-20,-20,12,-20,-20,-20,-20,-20,-20,3
344,-20,-20,-20,-20,-17,-20,-15,-20,14,-20,8
345,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
346,9,-20,-20,-20,-20,-20,-20,-20,-11,-20,0
347,-20,-20,-20,-20,-20,-17,-20,-20,-8,-18,8
348,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
349,-20,-20,-11,-5,-20,-20,-20,-20,-14,-16,3
350,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
351,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,5
352,-20,-20,-20,0,-20,4,-20,-20,-20,-20,5
353,-11,-20,-20,-20,-20,-20,10,-20,-20,-20,6
354,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
355,-20,-20,-20,-20,-20,-16,-20,-20,-7,-20,8
356,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,5
357,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
358,-20,-13,-20,-19,-6,-20,-20,-8,-18,-20,4
359,-20,-20,-20,-20,-9,-20,-20,-20,-20,-13,4
360,-20,-20,-20,-20,-8,-20,-20,-19,-20,-20,4
361,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,6
362,-16,-20,-2,-20,-20,-20,-20,-6,-20,-20,2
363,-20,-6,5,-20,-20,-20,-20,-20,-20,-20,2
364,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,5
365,10,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
366,-20,-20,-20,-20,-20,-20,12,-20,-20,-20,6
367,-20,-20,-20,-20,-20,13,-20,-20,-20,-20,5
368,-20,-20,-20,-20,-19,-20,16,-20,-20,-20,6
369,-20,-20,-20,8,-20,-20,-20,-20,-18,-20,3
370,-20,-19,-20,-20,-20,-20,-20,20,-20,-20,7
371,-20,-20,12,-20,-20,-20,-20,-20,-20,-20,2
372,14,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
373,-20,-20,-18,-20,-20,-20,-20,-20,1,-20,8
374,-20,-20,-20,-14,-20,-20,-20,-20,5,-20,8
375,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,5
376,-20,-20,-20,-20,3,-20,-20,-20,-20,-20,4
377,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
378,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
379,-20,-20,-20,-20,13,-20,-20,-20,-20,-20,4
380,20,-14,-16,-20,-20,-20,-20,-20,-20,-20,0
381,-20,-20,-6,-6,-17,-20,-20,-18,-18,-20,2
382,-20,-20,-20,16,-20,-20,-20,-20,-20,-20,3
383,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
384,-20,-20,-20,-20,-20,-18,20,-20,-20,-20,6
385,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
386,-20,-20,-20,-20,-20,-17,20,-20,-20,-20,6
387,-20,-20,6,-12,-20,-20,-20,-20,-20,-20,2
388,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
389,-20,-20,-20,-20,-20,-20,-20,-18,-20,7,9
390,-13,-20,-3,-16,-20,-20,-20,-20,-20,-20,2
391,-20,-20,-9,-20,-20,-20,-20,-20,-3,-20,8
392,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,6
393,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
394,-20,-20,-20,-20,-20,-20,-20,-20,-20,7,9
395,-20,-20,-20,-19,-20,20,-20,-20,-20,-20,5
396,-20,-20,17,-20,-20,-20,-20,-20,-20,-20,2
397,-20,-20,-20,-12,-20,1,-20,-20,-20,-20,5
398,-20,-20,-20,-20,20,-20,-20,-20,-19,-20,4
399,-20,-13,-20,-20,5,-20,-20,-20,-20,-20,4
400,-17,-20,0,-19,-20,-20,-20,-20,-20,-20,2
401,-20,-20,-20,-13,-20,-20,-20,-20,7,-20,8
402,-20,-20,-18,-8,-20,-20,-20,-20,-20,-20,3
403,-20,-20,-20,-20,-20,-20,-20,-20,1,-18,8
404,-20,-20,8,-17,-20,-20,-20,-20,-20,-20,2
405,-20,-20,-17,-20,13,-18,-20,-20,-20,-13,4
406,-14,-20,-20,-14,-20,-8,-17,-20,-20,-19,5
407,20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0
408,-7,-20,-20,-4,-20,-20,-17,-20,-20,-20,3
409,-20,18,-20,-20,-20,-19,-20,-20,-20,-20,1
410,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
411,-20,-16,-20,-20,-20,-20,-20,2,-20,-19,7
412,-20,-20,-20,-12,-20,-11,-20,-20,0,-20,8
413,-20,-20,-20,-20,-20,-20,-20,20,-20,-20,7
414,-20,-20,-20,-20,-13,-20,-20,-20,-20,9,9
415,-20,-20,-20,-20,-19,-20,-20,8,-20,-13,7
416,-20,20,-20,-20,-20,-20,-20,-20,-20,-20,1
