Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
-20,-20,11,-20,-20,-20,-20,-20,-20,-20
-20,13,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,6
-20,-20,-20,-20,1,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-3,-20
-20,-17,-20,-20,-20,-20,-20,-6,-20,-20
-20,-20,-20,5,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,11
-20,-20,-20,-20,-20,-20,-20,7,-20,-20
-20,-20,-20,-20,-15,-20,-20,-20,-20,-20
-20,-20,-20,-20,6,-20,-20,-20,-20,-20
-20,-20,-20,-20,4,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,4
-20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-13,-20,-1,-20,-20,-20,-20
-20,-20,-20,-20,-11,-20,-18,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,14,-20,-20
-20,-20,-20,-20,-20,-20,19,-20,-20,-20
-20,-20,-20,-20,-12,-20,-20,-7,-20,-14
-20,-20,-20,-20,-17,-20,-20,-20,-20,-5
0,-20,-20,-15,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,4,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,1,-17
-20,-20,-20,-20,-20,5,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,20,-20,-20,-20
-20,-20,-20,-20,-20,-20,14,-20,-20,-20
-20,-20,-20,-20,-20,1,-20,-20,-20,-20
-20,-20,-10,-20,-20,-20,-20,-11,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,9,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,16,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,19,-20,-20,-20
-20,-20,-20,-20,5,-20,-20,-20,-20,-16
-20,-20,-20,-20,-20,-20,20,-20,-20,-20
-20,-20,-15,-10,-13,-14,-20,10,-8,-20
-20,-20,-16,-10,-20,-20,-20,-17,-20,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-4,-20,-15
-20,13,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,3,-20
-20,-20,14,-20,-20,-20,-20,-20,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-14,-2,-10,-6,-9,-20,-20,-14,-5
-20,-20,-20,-20,-20,-20,-20,-20,-20,-10
-20,-20,-20,-20,-14,-20,-20,-20,-20,-7
-20,-20,-20,-20,-20,5,-20,-20,-15,-19
-20,-20,-20,-20,-20,-8,-20,-20,-15,-20
-20,13,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,5,-20,-20,-20,-20
-20,-20,-20,-20,-17,-19,15,-20,-17,-20
16,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-16,-4,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-10,-20,-20,-20,-20,-20
-20,-20,-20,-20,-1,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,19,-20,-20,-20
-20,-20,-20,-20,-20,10,-20,-20,-20,-20
-20,-20,-20,-20,3,-20,-20,-20,-20,-18
-20,-20,-20,-20,-20,-20,15,-20,-20,-20
-20,-20,-20,-20,-20,-3,-20,-20,-20,-20
-20,-20,-20,-20,-1,-20,-20,-20,-20,-20
-20,-20,-20,-18,-20,-1,-20,-20,-20,-20
-20,15,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,7,-20,-20,-20,-20,-20
-20,-20,-20,-20,8,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,7,-20,-20
-20,-20,1,-12,-20,-20,-20,-20,-13,-20
-20,-20,-20,-8,-20,-20,-20,-20,-20,-20
-20,-20,20,-20,-20,-20,-20,-20,-20,-20
-20,-19,-20,-20,-20,-20,-20,6,-20,-20
-20,16,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-1,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,3,-20
-20,17,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-19,-20,-3,-20
-20,-20,-20,-20,-20,-1,-20,-20,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-5,-20
-20,-20,-20,-20,-14,-20,-20,-20,-20,-12
-20,-20,4,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-2,-20,-20,-20,-20
20,-20,-20,-20,-20,-17,-20,-20,-20,-20
-20,8,-20,-20,-20,-20,-20,-20,-20,-20
-20,6,-20,-20,-20,-20,-20,-20,-15,-20
-20,4,-20,-20,-20,-20,-20,-20,-20,-20
18,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,-13
19,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-19,-20,-13,-16,-20,-20,-20,-20,-20
-20,9,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,20,-20,-20,-20
-20,-20,-20,-20,10,-20,-20,-20,-20,-17
-20,-20,9,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-2,-20,-20,-20,-20,-18,-20
-20,-20,-20,-20,-20,-20,17,-20,-20,-20
-20,19,-20,-20,-20,-20,-20,-20,-20,-20
-20,15,-20,-20,-20,-20,-20,-20,-20,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,10,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,1
-20,-20,-20,-19,-20,-10,-20,-20,-20,-20
-20,-20,20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,2
-20,-20,-20,-20,2,-20,-20,-19,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,-17
-20,-20,-20,-20,-19,-20,-20,-20,-20,0
-20,-20,-20,4,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,8
11,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,14,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-7,-12,-20,-13,-20
-20,-20,-20,-20,-20,-12,-20,-17,-20,-20
-20,-20,-20,-20,-20,0,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,9,-20,-14
-20,-20,6,-20,-20,-20,-20,-20,-20,-20
-19,-20,3,-20,-20,-20,-20,-20,-14,-20
-20,-20,-20,-20,-20,-20,-20,20,-20,-20
-20,13,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,8,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-16,-20,-20,-20,2,-20
-20,-20,-20,-20,-8,-20,-20,-20,-20,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,20,-20,-20
-20,-20,-20,-5,-20,-20,-20,-20,-20,-20
-20,-16,-20,3,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-16,-19,-20,-2,-20
-20,-20,-20,-20,-20,-20,-20,-20,-19,-8
-20,-20,-20,-20,-20,-20,-20,13,-20,-20
-20,-20,-20,-20,-20,-20,-20,-18,-20,4
-20,-20,9,-20,-20,-20,-20,-20,-20,-20
-20,-20,16,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,15,-20,-20,-20,-20,-20
-20,19,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-1,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-1,-9
-20,-20,-20,-20,-17,-20,-20,-3,-20,-20
-20,-20,2,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-3,-20,-16,-15,-20,-18,-20
18,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-15,-20,-20,-20,-3,-20,-20,-20
-20,-20,-20,-20,14,-20,-20,-20,-20,-20
-20,-19,3,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,0,-20,-20,-20,-20,-14
-20,-5,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,11
-20,-20,-20,-17,-20,1,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,19,-20,-20
-20,-20,-20,-19,-20,-20,-20,14,-20,-20
-20,-20,9,-20,-20,-20,-20,-20,-20,-20
-20,-16,-20,-20,-20,-20,-20,-20,-15,-20
-20,-20,20,-20,-20,-20,-20,-20,-20,-20
5,-20,-20,-20,-20,-20,-15,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,1,-20
-20,-15,-20,-20,-20,7,-20,-20,-20,-20
-20,-15,-14,-17,-10,-11,-20,12,-14,-20
-20,-20,-20,-20,-20,-20,-20,20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,-16
-20,18,-20,-20,-20,-20,-20,-20,-20,-20
-16,-20,-20,-20,-20,-20,-20,-20,-8,-20
-20,19,-20,-20,-20,-20,-20,-20,-20,-20
-18,-20,-20,-16,-20,-20,-20,-20,-16,-20
16,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,0,-20,-18,-20,-20,-20,-20
17,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,16,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,5
-20,-20,-20,-20,-20,-20,-20,-17,-20,-3
-20,-20,-20,-20,1,-20,-20,-20,-20,-8
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-2,-20
-20,-20,-6,-20,-20,-20,-20,-20,-20,-20
-20,15,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,8,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,10
-20,-20,-20,-20,-20,-20,-20,-19,-20,-20
-20,-20,-20,-20,-20,5,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,5
-20,-20,13,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,16,-20,-20,-20
-20,-20,-18,-6,-2,-16,-20,-15,-20,-18
-20,14,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-15,-20,-20,-20,-20
-20,-20,-20,-20,-13,-20,-20,-20,-20,-20
-20,-20,-2,-14,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-18,-20,4
-20,-20,15,-20,-20,-20,-20,-20,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,0,-20,-20,-20,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
18,-20,-20,-20,-20,-16,-20,-20,-20,-20
-20,-20,10,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-15,-20,-20,-20,-20,-3,-20
-20,-18,-20,-20,-14,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-1,-20,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-2,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-4,-20,-20,-20,-20,-20
9,-20,-14,-10,-17,-5,-14,-20,-10,-20
-20,-20,11,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-6,-20,-13
-20,-20,-20,-20,13,-20,-20,-20,-20,-20
-20,-20,-20,6,-20,-20,-20,-20,-20,-20
-20,-20,-20,3,-20,-20,-20,-20,-20,-20
12,-20,-20,-20,-20,-20,-20,-20,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-3,-20,-11,-20,-20,-20,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,1
-20,-20,-20,-20,-20,-10,14,-20,-20,-20
-20,-20,-20,-20,-20,0,-20,-20,-18,-20
-17,-20,-14,-12,-20,-20,-20,-20,-14,-20
-20,-20,-20,-20,-20,-3,-20,-20,-20,-20
-20,-9,-20,-20,-20,-20,-20,-10,-20,-20
-20,-20,-20,-20,-20,-20,-20,2,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,5
-20,-20,-20,11,-20,-20,-20,-20,-20,-20
-4,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-5,-20,-20,-20,-20,-20
-20,-20,3,-20,-20,-20,-13,-20,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,8,-20,-20
-20,18,-20,-20,-20,-20,-20,-20,-20,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-16,13,-20,-20,-20,-20,-20,-18,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-19,-20,-1,-20,-20,-20,-20
-20,-20,-20,14,-20,-20,-20,-20,-20,-20
-20,-20,-20,-1,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-18,-20,-20,-20,-20,-6
-20,-20,-20,-20,-20,-20,-20,19,-20,-20
-14,-20,-16,-15,-20,-10,-20,-20,-10,-16
-20,-20,-17,-20,-20,-20,10,-20,-20,-20
-20,-20,-20,-13,-20,-20,-18,-20,-20,-20
-20,-20,-20,-20,-19,-20,-1,-20,-20,-20
-20,19,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,2,-20,-19,-20,-20,-20,-20
-20,-20,-20,-20,-20,-14,-20,-20,-7,-20
-20,15,-20,-20,-20,-20,-20,-20,-20,-20
12,-20,-20,-20,-20,-20,-20,-20,-12,-20
-20,-20,-20,-20,-20,-3,-20,-20,-16,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-14,-20,-20,-20,-9,-20,-20
-20,1,-20,-18,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,4,-20,-20,-18,-20
-5,-20,-20,-18,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,2,-20,-20,-20
-20,9,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-1,-20
-20,-20,-20,-20,-20,4,-20,-20,-20,-20
-20,11,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-18,-20,-20,-3,-20,-20
-20,-20,-20,-20,-12,-20,-20,-20,-20,-16
-20,-20,-20,-10,-1,-20,-20,-15,-17,-18
-20,-20,-20,-20,-20,-20,20,-20,-20,-20
-20,-20,-13,-14,-20,-20,-20,-12,-20,-20
-20,-13,3,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,1,-20,-20,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-11,-20,-20,-20
-20,-20,-20,-16,-20,-3,-20,-20,-18,-16
-20,-20,-20,-20,-20,-20,17,-20,-20,-20
-20,-20,-20,10,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,11,-20,-20
-20,-19,1,-20,-20,-20,-20,-20,-20,-20
1,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-3,-20
-20,-20,-20,-20,-20,-20,-20,-20,8,-20
-20,-20,-20,-20,-20,10,-20,-20,-20,-20
-20,-20,-20,-20,-12,-20,-20,-20,-20,-2
-20,19,-20,-20,-20,-20,-20,-20,-20,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,8,-20,-20,-20,-20,-17
10,-20,-20,-20,-20,-9,-19,-20,-20,-20
-20,-20,-20,-19,-20,-20,-20,2,-20,-20
-20,-20,-20,7,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,20,-20,-20
-20,-20,-20,-20,-20,-20,20,-20,-20,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,7,-20,-20,-20
-20,-20,5,-20,-20,-20,-20,-20,-20,-20
-20,15,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-17,-20,-20,-20,-20,-12
-20,-20,11,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-8,-20
-20,-20,-20,-20,-20,-20,20,-20,-20,-20
-20,15,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,-2
-20,-20,-20,-20,-20,-4,-20,-20,-19,-20
-20,-20,16,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-3,-20,-20,-20,-20
-20,-20,-20,-20,5,-20,-20,-20,-20,-17
-20,-20,-20,-20,-6,-20,-20,-20,-20,-20
-17,-20,1,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-17,-20,-20,-20,-20,-1,-20
-20,-20,-20,-1,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-6,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-9,-20,-20,-20,-20,-10
-19,-20,-20,-20,-20,-20,-20,-20,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-2,-20,-20,-20,-20,-20,-20
-20,12,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,14,-20,-20
-20,-20,-20,-20,-20,-20,-20,11,-20,-20
-20,-20,-20,-17,-20,-10,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,6
-20,-20,-20,-20,-20,-20,-20,19,-20,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,4
-20,-20,18,-20,-20,-20,-20,-20,-20,-20
-20,16,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,1,-17,-20,-20,-20,-20
-18,-20,-4,-16,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,3
-20,-20,16,-20,-20,-20,-20,-20,-20,-20
13,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-6,-20,-2,-20,-20,-20,-11,-19
-20,-20,-20,-20,-20,-20,-20,-20,-20,4
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-2,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-3,-20
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-15,-20,-17,-17,-20,-20,-1,-20
-20,-20,-20,-20,-8,-20,-20,-20,-20,-20
-20,-20,-20,-20,-11,-1,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,12
-20,-20,-20,-20,-20,-20,-20,-20,-9,-20
-20,-20,-20,-20,-20,-20,-20,-20,-9,-20
-20,-20,-20,2,-17,-20,-20,-20,-15,-18
-20,-20,-20,-20,-20,-20,-20,20,-20,-20
-20,-20,-20,-20,-20,-20,20,-20,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
20,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,11,-20,-20,-20,-20,-20,-20
-1,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-12,-20,-20,-20,-20,-20,-11,-20
10,-20,-20,-20,-20,-19,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,14,-20,-20,-20
-20,-20,-20,-20,-14,-20,-20,-20,-20,-18
-20,-20,-20,-20,-20,-20,-20,-20,-11,-20
-20,-20,-20,-3,-20,-11,-20,-20,-19,-20
-20,-20,-20,-12,-20,-17,-20,-20,-20,-20
-20,-20,-20,4,-20,-20,-20,-20,-20,-20
-20,-13,11,-20,-20,-20,-20,-20,-20,-20
-20,-20,-15,-4,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,7
-20,20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,2,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-14,1,-20,-13,-20
-20,-20,-20,-20,-20,-20,-20,-20,-1,-9
11,-20,-20,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,-10
-20,-20,-20,-20,-12,-20,16,-20,-20,-20
-20,-20,-20,-20,-20,-20,-2,-20,-20,-20
-20,-20,-20,-20,-20,-20,20,-20,-20,-20
-20,-20,-20,-7,-20,-20,-20,-15,-20,-16
-20,-20,-20,-20,-20,-20,-20,-20,2,-20
-20,-20,-20,-20,-20,-20,-20,-20,-1,-20
-20,-20,10,-20,-20,-20,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-10,-16,-13
-20,-20,-20,-20,-20,-9,-20,-20,-20,-20
-20,-20,-20,-20,-20,-20,-20,-20,5,-20
-20,-20,-20,-20,-20,-20,-20,-20,-20,9
-20,-20,-20,-20,-20,-20,19,-20,-20,-20
-20,13,-20,-20,-20,-20,-20,-20,-20,-20
